LocationLogID,LegacyLocationLogID,OldRackLayer,NewRackLayer,MoldID,CutterID,notes,EmployeeID,DateEntry,WebUUID,UpdatedAt,UpdatedBy
LOC1775024060670,,93,92,263,,,1,2026-04-01T06:14:20.670Z,WEBUUID1775024061932_i00i44jty,2026-04-01T15:14:21.931Z,1
LOC1775023953508,,94,92,4657,,,1,2026-04-01T06:12:33.508Z,WEBUUID1775023954475_4lstxvnhf,2026-04-01T15:12:34.475Z,1
LOC1775023713296,,233,92,1163,,,1,2026-04-01T06:08:33.296Z,WEBUUID1775023736109_39pg2rrcl,2026-04-01T15:08:56.109Z,1
LOC1774406737592,,700,95,5730,,,1,2026-03-25T02:45:37.592Z,WEBUUID1774406767203_yd665kwap,2026-03-25T11:46:07.203Z,1
LOC1774232178937,,223,233,1163,,,1,2026-03-23T02:16:18.937Z,WEBUUID1774232179729_nfefaqvic,2026-03-23T11:16:19.729Z,1
LOC1774232154889,,93,92,259,,,1,2026-03-23T02:15:54.889Z,WEBUUID1774232155698_m2mw8hhwp,2026-03-23T11:15:55.698Z,1
LOC1773911637082,,707,711,5753,,,1,2026-03-19T09:13:57.082Z,WEBUUID1773911637392_5fph4hr5y,2026-03-19T18:13:57.391Z,1
LOC1773802522077,,700,700,5765,,,1,2026-03-18T02:55:22.077Z,WEBUUID1773802522637_ecrln7bua,2026-03-18T11:55:22.637Z,1
LOC1773802342149,,707,700,5765,,,1,2026-03-18T02:52:22.149Z,WEBUUID1773802342595_km0vc7p84,2026-03-18T11:52:22.595Z,1
LOC1773793011702,,71,72,5515,,test,1,2026-03-18T00:16:51.702Z,WEBUUID1773793011961_j31ge6p17,2026-03-18T09:16:51.961Z,1
LOC1773735933647,,700,707,5765,,,1,2026-03-17T08:25:33.647Z,WEBUUID1773735956392_753bnz5jm,2026-03-17T17:25:56.392Z,1
LOC1773726111719,,700,707,5753,,,1,2026-03-17T05:41:51.719Z,WEBUUID1773726134770_0vmh0dco9,2026-03-17T14:42:14.770Z,1
LOC1773467724140,,707,233,5559,,テフロン加工,1,2026-03-14T05:55:24.140Z,WEBUUID1773467751672_zsv1vt4l4,2026-03-14T14:55:51.672Z,1
LOC1773465389640,,711,700,5753,,,1,2026-03-14T05:16:29.640Z,WEBUUID1773465411058_k47et0tc8,2026-03-14T14:16:51.058Z,1
